season,site,tree,latitude,longitude,elevation,higth,diameter,volume,distance_to_NN_20km,reproduction,reproduction_prop,est_n_fruits,pre_female,early_female,late_female,early_interph,late_interph,early_male,late_male,total_syconia,synchrony, damaged_syconia,counted_syconia
S2013,158,1,29.26153,-114.01678,NA,NA,NA,NA,0.398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,2,29.26112004,-114.01699,NA,NA,NA,NA,0.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,3,29.26136001,-114.01676,NA,NA,NA,NA,0.404,NA,NA,NA,3,7,5,13,16,0,0,44,3.811024,NA,NA
S2013,158,4,29.26133,-114.01676,NA,NA,NA,NA,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,5,29.26215998,-114.02082,NA,0.5,0.5,0.523598776,0.062,Yes,0.375,0.196349541,0,0,0,8,8,0,0,16,2,0,60
S2013,158,06A,29.26117997,-114.02113,NA,NA,NA,NA,0.123,NA,NA,NA,0,25,13,0,0,0,0,38,1.818639798,0,60
S2013,158,06B,29.26120997,-114.02114,NA,NA,NA,NA,0.12,NA,NA,NA,1,4,6,15,18,0,0,44,3.215946844,0,60
S2013,158,06C,29.26123001,-114.02115,NA,NA,NA,NA,0.118,Yes,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,07A,29.26117997,-114.02126,NA,NA,NA,NA,0.124,Yes,0.85,NA,0,1,0,20,17,1,3,42,2.52,10,60
S2013,158,07B,29.26120997,-114.02128,NA,NA,NA,NA,0.121,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,8,29.26207004,-114.02159,NA,6,3.5,307.8760801,0.081,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,9,29.26182001,-114.02126,NA,6,3.5,307.8760801,0.071,Yes,0.025,7.696902001,0,0,0,27,13,0,0,40,1.781737194,0,60
S2013,158,10A,29.26199997,-114.02107,NA,2,2,33.51032164,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,10B,29.26188002,-114.02091,NA,1,5,104.7197551,0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,10C,29.26189997,-114.02098,NA,NA,NA,NA,0.075,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,10D,29.26198999,-114.02099,NA,NA,NA,NA,0.071,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,10E,29.26198999,-114.02101,NA,NA,NA,NA,0.072,NA,NA,NA,0,0,0,29,14,0,0,43,1.783027965,0,60
S2013,158,11,29.26209996,-114.02062,NA,NA,NA,NA,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,12,29.26241999,-114.02054,NA,3,3,113.0973355,0.066,Yes,0.975,110.2699021,0,0,0,23,30,4,0,57,2.248442907,0,60
S2013,158,120N,29.266795,-114.022938,919.75,8,8,2144.660585,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
